Locality,MinPrice,MaxPrice,AvgRent,HouseType
T Dasarahalli,4200,8000,6100,1BHK
T Dasarahalli,12000,15000,13500,2BHK
Kengeri Hobli,6500,7500,7000,1BHK
Murugesh Palya,7000,8000,7500,1BHK
Murugesh Palya,28000,50000,36666.67,3BHK
Mullur,7500,8500,8000,1BHK
Mullur,10000,13000,11333.33,2BHK
Muneshwara Nagar,4500,12500,8620,1BHK
Muneshwara Nagar,13500,17000,15250,2BHK
Srirampuram,11000,21000,16000,2BHK
Dwarka Nagar,3500,7500,5500,1BHK
Hanumanthanagar Bangalore,9000,11000,10000,1BHK
Mangammanapalya,4500,17000,12500,1BHK
Mangammanapalya,8000,25000,18633.33,2BHK
Jalahalli West,5750,7500,6562.5,1BHK
Jalahalli West,8000,12000,10000,2BHK
GB Palya,4500,8500,7100,1BHK
GB Palya,10500,17000,12625,2BHK
Kambipura,15000,33500,23280,3BHK
Gnana bharathi,14000,15000,14500,2BHK
Laggere,5000,5500,5166.67,1BHK
Laggere,7500,11000,9000,2BHK
Sampangiram Nagar,18000,20000,19333.33,2BHK
Srinivaspura,6000,8250,7125,1BHK
Yemalur,9000,12500,10750,1BHK
Panduranga Nagar,9000,13000,11333.33,1BHK
Hesaraghatta,10700,19000,15450,2BHK
Hesaraghatta,10000,27500,18750,3BHK
Kattigenahalli,5500,7000,6250,1BHK
Banashankari Stage 2nd,30000,42000,36000,3BHK
Dasarahalli,6000,11400,8466.67,1BHK
Dasarahalli,13000,17000,15000,2BHK
Varanasi,12500,14000,13250,2BHK
Voderahalli,8000,15000,11666.67,2BHK
HAL,6000,13000,9875,1BHK
HAL,17000,25000,20500,2BHK
Srinagar,8000,95000,17272.73,1BHK
Srinagar,12000,17000,14722.22,2BHK
Thirumalashettyhally,6000,8000,6650,1BHK
Yelahanka Satellite Town,7500,9500,8500,1BHK
Somasundara Palya,6000,10000,7500,1BHK
Bikasipura,18000,19000,18666.67,2BHK
Indiranagar,10000,15000,12166.67,1BHK
Indiranagar,22000,34000,28000,2BHK
Indiranagar,30000,1.2 L,78000,3BHK
Mailasandra,10000,14000,12000,2BHK
Mailasandra,16000,26000,22333.33,3BHK
Balagere,20000,26000,21800,2BHK
Kadugondanahalli,3000,14000,9250,2BHK
Kempegowda Nagar,5000,5500,5250,1BHK
Mylasandra,5000,7000,6000,1BHK
Seegehalli Magadi Road,10000,15000,12500,2BHK
Varadharaja Nagar,3500,5000,4250,1BHK
Madhura Nagar,3500,7000,5000,1BHK
Madhura Nagar,9000,10000,9666.67,2BHK
Palace Guttahalli,7000,8000,7333.33,1BHK
Palace Guttahalli,9500,25000,17700,2BHK
JP Nagar Phase 2,20000,43000,31200,3BHK
